Company Name,Sector,Number of Funds,Funds Holding This Stock
Shriram Finance Ltd.,Financials,20,"Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, Kotak Large Cap Fund, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg, Samco Large Cap Fund-Reg"
Tata Steel Ltd.,Metals,20,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Invesco India Largecap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg, Samco Large Cap Fund-Reg"
SBI Life Insurance Company Ltd.,Financials,19,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Sundaram Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, HSBC Large Cap Fund, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Union Largecap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg"
Hindustan Unilever Ltd.,FMCG,18,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg, Taurus Large Cap Fund-Reg"
Torrent Pharmaceuticals Ltd.,Healthcare,18,"HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, Groww Largecap Fund-Reg, Samco Large Cap Fund-Reg"
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,18,"SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Quant Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Tata Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg, Samco Large Cap Fund-Reg"
Divi's Laboratories Ltd.,Healthcare,18,"SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Axis Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, Franklin India Large Cap Fund, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Taurus Large Cap Fund-Reg"
ITC Ltd.,FMCG,17,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, Bank of India Large Cap Fund-Re, Taurus Large Cap Fund-Reg"
Cholamandalam Investment and Finance Company Ltd.,Financials,17,"SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, HDFC Large Cap Fund, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, Franklin India Large Cap Fund, Sundaram Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, ITI Large Cap Fund-Reg, Groww Largecap Fund-Reg"
Bharat Electronics Ltd.,Capital Goods,17,"Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, Kotak Large Cap Fund, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg"
Tata Consultancy Services Ltd.,Technology,16,"Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, Groww Largecap Fund-Reg"
Apollo Hospitals Enterprise Ltd.,Healthcare,16,"ICICI Pru Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Kotak Large Cap Fund, Franklin India Large Cap Fund, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Samco Large Cap Fund-Reg"
Varun Beverages Ltd.,FMCG,16,"SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Quant Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, HSBC Large Cap Fund, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, ITI Large Cap Fund-Reg"
