Company Name,Sector,Number of Funds,Funds Holding This Stock
Kwality Wall's (India) Ltd.,FMCG,4,"SBI Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, Groww Largecap Fund-Reg"
PI Industries Ltd.,Chemicals,4,"SBI Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg"
Shree Cement Ltd.,Construction,4,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Parag Parikh Large Cap Fund-Reg"
Adani Enterprises Ltd.,Miscellaneous,4,"SBI Large Cap Fund-Reg, Quant Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Union Largecap Fund-Reg"
Indian Oil Corporation Ltd.,Energy,4,"ICICI Pru Large Cap Fund, DSP Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg"
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,4,"Franklin India Large Cap Fund, Motilal Oswal Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg"
Prestige Estates Projects Ltd.,Construction,4,"Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, PGIM India Large Cap Fund, JM Large Cap Fund-Reg"
JSW Infrastructure Ltd.,Infrastructure,4,"Franklin India Large Cap Fund, Motilal Oswal Large Cap Fund-Re, Sundaram Large Cap Fund-Reg, WOC Large Cap Fund-Reg"
Honeywell Automation India Ltd.,Consumer Durables,3,"Aditya Birla SL Large Cap Fund-, Tata Large Cap Fund-Reg, Invesco India Largecap Fund-Reg"
Max Financial Services Ltd.,Financials,3,"Nippon India Large Cap Fund, WOC Large Cap Fund-Reg, Union Largecap Fund-Reg"
Hero MotoCorp Ltd.,Automobile and Ancillaries,3,"ICICI Pru Large Cap Fund, DSP Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu"
Schaeffler India Ltd.,Automobile and Ancillaries,3,"SBI Large Cap Fund-Reg, Kotak Large Cap Fund, Edelweiss Large Cap Fund-Reg"
FSN E-Commerce Ventures Ltd.,Retail and Other Services,3,"Mirae Asset Large Cap Fund-Reg, HSBC Large Cap Fund, WOC Large Cap Fund-Reg"
ICICI Prudential Life Insurance Company Ltd.,Financials,3,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, DSP Large Cap Fund-Reg"
Jubilant FoodWorks Ltd.,FMCG,3,"Nippon India Large Cap Fund, UTI Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg"
Meesho Ltd.,Retail and Other Services,3,"Nippon India Large Cap Fund, Aditya Birla SL Large Cap Fund-, HSBC Large Cap Fund"
Mphasis Ltd.,Technology,3,"Mirae Asset Large Cap Fund-Reg, Kotak Large Cap Fund, Union Largecap Fund-Reg"
JSW Energy Ltd.,Energy,3,"Mirae Asset Large Cap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg"
One97 Communications Ltd.,Financials,3,"Mirae Asset Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, JM Large Cap Fund-Reg"
JIO Financial Services Ltd.,Financials,3,"Bajaj Finserv Large Cap Fund-Re, Parag Parikh Large Cap Fund-Reg, Union Largecap Fund-Reg"
Punjab National Bank,Financials,3,"Baroda BNP Paribas Large Cap Fu, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun"
Delhivery Ltd.,Logistics,3,"Aditya Birla SL Large Cap Fund-, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund"
Wipro Ltd.,Technology,3,"ICICI Pru Large Cap Fund, Baroda BNP Paribas Large Cap Fu, Parag Parikh Large Cap Fund-Reg"
Marico Ltd.,FMCG,3,"Franklin India Large Cap Fund, Sundaram Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg"
Bosch Ltd.,Automobile and Ancillaries,3,"Kotak Large Cap Fund, Baroda BNP Paribas Large Cap Fu, Parag Parikh Large Cap Fund-Reg"
Adani Green Energy Ltd.,Energy,3,"Quant Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Samco Large Cap Fund-Reg"
Craftsman Automation Ltd.,Automobile and Ancillaries,3,"Sundaram Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg"
Bharat Heavy Electricals Ltd.,Capital Goods,3,"Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, WOC Large Cap Fund-Reg"
Ashok Leyland Ltd.,Automobile and Ancillaries,3,"Franklin India Large Cap Fund, Edelweiss Large Cap Fund-Reg, PGIM India Large Cap Fund"
Mazagon Dock Shipbuilders Ltd.,Automobile and Ancillaries,3,"Parag Parikh Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Taurus Large Cap Fund-Reg"
Union Bank Of India,Financials,3,"Parag Parikh Large Cap Fund-Reg, Samco Large Cap Fund-Reg, Taurus Large Cap Fund-Reg"
Havells India Ltd.,Capital Goods,3,"ICICI Pru Large Cap Fund, HDFC Large Cap Fund, Mahindra Manulife Large Cap Fun"
Oil India Ltd.,Energy,3,"ICICI Pru Large Cap Fund, Baroda BNP Paribas Large Cap Fu, WOC Large Cap Fund-Reg"
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,2,"Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-"
Bharat Forge Ltd.,Automobile and Ancillaries,2,"Aditya Birla SL Large Cap Fund-, Kotak Large Cap Fund"
Abbott India Ltd.,Healthcare,2,"Canara Rob Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg"
Anthem Biosciences Ltd.,Healthcare,2,"Kotak Large Cap Fund, Edelweiss Large Cap Fund-Reg"
Ather Energy Ltd.,Automobile and Ancillaries,2,"Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg"
KFin Technologies Ltd.,Financials,2,"Bandhan Large Cap Fund-Reg, ITI Large Cap Fund-Reg"
Glenmark Pharmaceuticals Ltd.,Healthcare,2,"Bandhan Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg"
Godrej Properties Ltd.,Construction,2,"Bandhan Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun"
NHPC Ltd.,Energy,2,"ICICI Pru Large Cap Fund, Baroda BNP Paribas Large Cap Fu"
Zydus Lifesciences Ltd.,Healthcare,2,"ICICI Pru Large Cap Fund, Parag Parikh Large Cap Fund-Reg"
United Breweries Ltd.,FMCG,2,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund"
Tube Investments of India Ltd.,Automobile and Ancillaries,2,"Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg"
Canara Bank,Financials,2,"Parag Parikh Large Cap Fund-Reg, Bank of India Large Cap Fund-Re"
Hindustan Petroleum Corporation Ltd.,Energy,2,"HSBC Large Cap Fund, Edelweiss Large Cap Fund-Reg"
Poly Medicure Ltd.,Healthcare,2,"Invesco India Largecap Fund-Reg, WOC Large Cap Fund-Reg"
Aptus Value Housing Finance India Ltd.,Financials,2,"Motilal Oswal Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg"
Cyient Ltd.,Technology,2,"DSP Large Cap Fund-Reg, Tata Large Cap Fund-Reg"
Whirlpool Of India Ltd.,Consumer Durables,2,"Aditya Birla SL Large Cap Fund-, Motilal Oswal Large Cap Fund-Re"
Poonawalla Fincorp Ltd.,Financials,2,"Kotak Large Cap Fund, Bandhan Large Cap Fund-Reg"
Jubilant Ingrevia Ltd.,Chemicals,2,"DSP Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg"
UNO Minda Ltd.,Automobile and Ancillaries,2,"Canara Rob Large Cap Fund-Reg, Union Largecap Fund-Reg"
Jindal Stainless Ltd.,Metals,2,"UTI Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg"
Nifty 50,Unknown Sector,2,"Axis Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re"
Page Industries Ltd.,Textile,2,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg"
NTPC Green Energy Ltd.,Energy,2,"Nippon India Large Cap Fund, Invesco India Largecap Fund-Reg"
Restaurant Brands Asia Ltd.,Retail and Other Services,2,"Mirae Asset Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re"
Sobha Ltd.,Construction,2,"Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-"
Life Insurance Corporation of India,Financials,2,"ICICI Pru Large Cap Fund, DSP Large Cap Fund-Reg"
Navin Fluorine International Ltd.,Chemicals,2,"WOC Large Cap Fund-Reg, Union Largecap Fund-Reg"
JK Cement Ltd.,Construction,2,"Union Largecap Fund-Reg, Groww Largecap Fund-Reg"
Krishna Institute of Medical Sciences Ltd,Healthcare,2,"Motilal Oswal Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg"
Indiqube Spaces Ltd.,Miscellaneous,2,"Motilal Oswal Large Cap Fund-Re, Groww Largecap Fund-Reg"
Bajaj Holdings & Investment Ltd.,Financials,2,"Motilal Oswal Large Cap Fund-Re, Parag Parikh Large Cap Fund-Reg"
PG Electroplast Ltd.,Consumer Durables,2,"Kotak Large Cap Fund, Bandhan Large Cap Fund-Reg"
Dabur India Ltd.,FMCG,2,"HDFC Large Cap Fund, Edelweiss Large Cap Fund-Reg"
Gujarat Energy Ltd.,Energy,2,"Mirae Asset Large Cap Fund-Reg, Kotak Large Cap Fund"
PNB Housing Finance Ltd.,Financials,2,"Aditya Birla SL Large Cap Fund-, ITI Large Cap Fund-Reg"
JSW Dulux Ltd.,Chemicals,2,"Aditya Birla SL Large Cap Fund-, Bandhan Large Cap Fund-Reg"
Godfrey Phillips India Ltd.,FMCG,2,"LIC MF Large Cap Fund-Reg, ITI Large Cap Fund-Reg"
BSE Ltd.,Financials,2,"Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg"
SKF India (Industrial) Ltd.,Automobile and Ancillaries,2,"SBI Large Cap Fund-Reg, Mirae Asset Large Cap Fund-Reg"
Other Derivaties,Unknown Sector,2,"SBI Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-"
Brainbees Solutions Ltd.,Retail and Other Services,2,"SBI Large Cap Fund-Reg, Kotak Large Cap Fund"
Torrent Power Ltd.,Energy,2,"SBI Large Cap Fund-Reg, PGIM India Large Cap Fund"
National Highways Infra Trust,Unknown Sector,1,WOC Large Cap Fund-Reg
Citius Transnet Investment Trust,Unknown Sector,1,WOC Large Cap Fund-Reg
Thermax Ltd.,Capital Goods,1,SBI Large Cap Fund-Reg
Embassy Office Parks REIT,Unknown Sector,1,WOC Large Cap Fund-Reg
Nexus Select Trust,Unknown Sector,1,WOC Large Cap Fund-Reg
TBO Tek Ltd.,Travel,1,WOC Large Cap Fund-Reg
ITC Hotels Ltd.,Travel,1,ICICI Pru Large Cap Fund
Aadhar Housing Finance Ltd.,Financials,1,WOC Large Cap Fund-Reg
Ajanta Pharma Ltd.,Healthcare,1,Aditya Birla SL Large Cap Fund-
Bandhan Bank Ltd.,Financials,1,Aditya Birla SL Large Cap Fund-
Bayer CropScience Ltd.,Chemicals,1,Aditya Birla SL Large Cap Fund-
Sanofi Consumer Healthcare India Ltd.,Healthcare,1,Aditya Birla SL Large Cap Fund-
Emami Ltd.,FMCG,1,Aditya Birla SL Large Cap Fund-
Axis Money Market Fund(G)-Direct Plan,Unknown Sector,1,Axis Large Cap Fund-Reg
Axis Nifty ETF,Unknown Sector,1,Axis Large Cap Fund-Reg
Aditya Birla Capital Ltd.,Financials,1,Aditya Birla SL Large Cap Fund-
L&T Finance Ltd.,Financials,1,Mirae Asset Large Cap Fund-Reg
Kalyan Jewellers India Ltd.,Retail and Other Services,1,Mirae Asset Large Cap Fund-Reg
Mirae Asset Cash Management(G)-Direct Plan,Unknown Sector,1,Mirae Asset Large Cap Fund-Reg
Kalpataru Projects International Ltd.,Infrastructure,1,Mirae Asset Large Cap Fund-Reg
Indian Energy Exchange Ltd.,Energy,1,Mirae Asset Large Cap Fund-Reg
KPIT Technologies Ltd.,Technology,1,Mirae Asset Large Cap Fund-Reg
Titagarh Rail Systems Ltd.,Automobile and Ancillaries,1,Mirae Asset Large Cap Fund-Reg
Chemplast Sanmar Ltd.,Chemicals,1,Mirae Asset Large Cap Fund-Reg
Timken India Ltd.,Automobile and Ancillaries,1,Mirae Asset Large Cap Fund-Reg
Gujarat Fluorochemicals Ltd.,Chemicals,1,Mirae Asset Large Cap Fund-Reg
EPL Ltd.,FMCG,1,Mirae Asset Large Cap Fund-Reg
Devyani International Ltd.,FMCG,1,Nippon India Large Cap Fund
Linde India Ltd.,Energy,1,Nippon India Large Cap Fund
Chalet Hotels Ltd.,Travel,1,Nippon India Large Cap Fund
Procter & Gamble Hygiene and Health Care Ltd.,FMCG,1,ICICI Pru Large Cap Fund
Container Corporation Of India Ltd.,Logistics,1,ICICI Pru Large Cap Fund
Gillette India Ltd.,FMCG,1,Nippon India Large Cap Fund
SBI Cards And Payment Services Ltd.,Financials,1,Nippon India Large Cap Fund
EIH Ltd.,Travel,1,Nippon India Large Cap Fund
Gland Pharma Ltd.,Healthcare,1,Mirae Asset Large Cap Fund-Reg
Colgate-Palmolive (India) Ltd.,FMCG,1,Nippon India Large Cap Fund
PVR Inox Ltd.,Media and Communications,1,Nippon India Large Cap Fund
Motherson Sumi Wiring India Ltd.,Automobile and Ancillaries,1,SBI Large Cap Fund-Reg
SKF India Ltd.,Automobile and Ancillaries,1,SBI Large Cap Fund-Reg
Blue Star Ltd.,Consumer Durables,1,LIC MF Large Cap Fund-Reg
MOIL Ltd.,Energy,1,LIC MF Large Cap Fund-Reg
Allied Blenders And Distillers Ltd.,FMCG,1,LIC MF Large Cap Fund-Reg
Ujjivan Small Finance Bank Ltd.,Financials,1,LIC MF Large Cap Fund-Reg
Nippon Life India Asset Management Ltd.,Financials,1,LIC MF Large Cap Fund-Reg
Bharat Dynamics Ltd.,Capital Goods,1,LIC MF Large Cap Fund-Reg
Other Assets,Unknown Sector,1,Edelweiss Large Cap Fund-Reg
Balrampur Chini Mills Ltd.,FMCG,1,Bank of India Large Cap Fund-Re
Sky Gold and Diamonds Ltd.,Retail and Other Services,1,Bank of India Large Cap Fund-Re
OnEMI Technology Solutions Ltd.,Financials,1,Bank of India Large Cap Fund-Re
TD Power Systems Ltd.,Capital Goods,1,Bank of India Large Cap Fund-Re
Stylam Industries Ltd.,Construction,1,Bank of India Large Cap Fund-Re
Quality Power Electrical Equipments Ltd.,Capital Goods,1,Bank of India Large Cap Fund-Re
CreditAccess Grameen Ltd.,Financials,1,Bank of India Large Cap Fund-Re
Sanghvi Movers Ltd.,Logistics,1,ITI Large Cap Fund-Reg
Shakti Pumps (India) Ltd.,Capital Goods,1,ITI Large Cap Fund-Reg
360 One Wam Ltd.,Financials,1,JM Large Cap Fund-Reg
HDB Financial Services Ltd.,Financials,1,Mahindra Manulife Large Cap Fun
IIFL Finance Ltd.,Financials,1,ITI Large Cap Fund-Reg
Anirit Ventures Ltd.,Textile,1,JM Large Cap Fund-Reg
Punjab National Bank (03-Jul-2026),Certificate of Deposit,1,ICICI Pru Large Cap Fund
Raajmarg Infra Investment Trust,Unknown Sector,1,WOC Large Cap Fund-Reg
Astra Microwave Products Ltd.,Capital Goods,1,Kotak Large Cap Fund
V-Guard Industries Ltd.,Capital Goods,1,Kotak Large Cap Fund
Mahindra Lifespace Developers Ltd.,Construction,1,Kotak Large Cap Fund
The India Cements Ltd.,Construction,1,Kotak Large Cap Fund
Voltas Ltd.,Consumer Durables,1,Kotak Large Cap Fund
Afcons Infrastructure Ltd.,Infrastructure,1,Aditya Birla SL Large Cap Fund-
Astral Ltd.,Consumer Durables,1,UTI Large Cap Fund-Reg
Metropolis Healthcare Ltd.,Healthcare,1,UTI Large Cap Fund-Reg
Sanofi India Ltd.,Healthcare,1,Aditya Birla SL Large Cap Fund-
Aditya Birla SL Nifty Next 50 ETF,Unknown Sector,1,Aditya Birla SL Large Cap Fund-
JSW Cement Ltd.,Construction,1,Tata Large Cap Fund-Reg
Sedemac Mechatronics Ltd.,Media and Communications,1,Sundaram Large Cap Fund-Reg
Flair Writing Industries Ltd.,FMCG,1,Motilal Oswal Large Cap Fund-Re
Tanfac Industries Ltd.,Chemicals,1,Motilal Oswal Large Cap Fund-Re
Shadowfax Technologies Ltd.,Logistics,1,Motilal Oswal Large Cap Fund-Re
GNG Electronics Ltd.,Miscellaneous,1,Motilal Oswal Large Cap Fund-Re
Solarworld Energy Solutions Ltd.,Infrastructure,1,Motilal Oswal Large Cap Fund-Re
Euro Pratik Sales Ltd.,Construction,1,Motilal Oswal Large Cap Fund-Re
Sambhv Steel Tubes Ltd.,Metals,1,Motilal Oswal Large Cap Fund-Re
Sagility Ltd.,Miscellaneous,1,Motilal Oswal Large Cap Fund-Re
Cognizant Technology Solutions Corporation,Overseas Equity,1,Franklin India Large Cap Fund
Ipca Laboratories Ltd.,Healthcare,1,DSP Large Cap Fund-Reg
Alembic Pharmaceuticals Ltd.,Healthcare,1,DSP Large Cap Fund-Reg
Capri Global Capital Ltd.,Financials,1,Quant Large Cap Fund-Reg
Cholamandalam Financial Holdings Ltd.,Financials,1,Motilal Oswal Large Cap Fund-Re
Brigade Hotel Ventures Ltd.,Travel,1,Motilal Oswal Large Cap Fund-Re
Endurance Technologies Ltd.,Automobile and Ancillaries,1,Franklin India Large Cap Fund
Petronet LNG Ltd.,Energy,1,DSP Large Cap Fund-Reg
Call Money,Unknown Sector,1,Franklin India Large Cap Fund
The Federal Bank Ltd.,Financials,1,Aditya Birla SL Large Cap Fund-
Pine Labs Ltd.,Financials,1,Aditya Birla SL Large Cap Fund-
Balkrishna Industries Ltd.,Automobile and Ancillaries,1,UTI Large Cap Fund-Reg
Shubh Shanti Services Ltd,Financials,1,UTI Large Cap Fund-Reg
Metro Brands Ltd.,Retail and Other Services,1,UTI Large Cap Fund-Reg
Coromandel International Ltd.,Chemicals,1,Kotak Large Cap Fund
Apollo Tyres Ltd.,Automobile and Ancillaries,1,Kotak Large Cap Fund
Acme Solar Holdings Ltd.,Energy,1,Kotak Large Cap Fund
Hexaware Technologies Ltd.,Technology,1,ICICI Pru Large Cap Fund
Westlife Foodworld Ltd,Retail and Other Services,1,Tata Large Cap Fund-Reg
Supreme Industries Ltd.,Consumer Durables,1,ICICI Pru Large Cap Fund
Cemindia Projects Ltd.,Infrastructure,1,Bank of India Large Cap Fund-Re
Escorts Kubota Ltd.,Automobile and Ancillaries,1,Baroda BNP Paribas Large Cap Fu
Ethos Ltd.,Retail and Other Services,1,Bandhan Large Cap Fund-Reg
Canara HSBC Life Insurance Company Ltd.,Financials,1,Bandhan Large Cap Fund-Reg
Honasa Consumer Ltd.,Miscellaneous,1,Bandhan Large Cap Fund-Reg
Amber Enterprises India Ltd.,Consumer Durables,1,Bandhan Large Cap Fund-Reg
Dr. Agarwal's Health Care Ltd.,Healthcare,1,Bandhan Large Cap Fund-Reg
RBL Bank Ltd.,Financials,1,Bandhan Large Cap Fund-Reg
Astrazeneca Pharma India Ltd.,Healthcare,1,Bandhan Large Cap Fund-Reg
PTC Industries Ltd.,Automobile and Ancillaries,1,Invesco India Largecap Fund-Reg
Sai Life Sciences Ltd.,Healthcare,1,Invesco India Largecap Fund-Reg
Jyoti CNC Automation Ltd.,Capital Goods,1,Invesco India Largecap Fund-Reg
Aditya Infotech Ltd.,Miscellaneous,1,Invesco India Largecap Fund-Reg
Sterlite Technologies Ltd.,Capital Goods,1,HSBC Large Cap Fund
Laurus Labs Ltd.,Healthcare,1,Edelweiss Large Cap Fund-Reg
MTAR Technologies Ltd.,Capital Goods,1,Bandhan Large Cap Fund-Reg
Global Health Ltd.,Healthcare,1,Invesco India Largecap Fund-Reg
Home First Finance Company India Ltd.,Financials,1,Invesco India Largecap Fund-Reg
Alkem Laboratories Ltd.,Healthcare,1,Edelweiss Large Cap Fund-Reg
NMDC Ltd.,Energy,1,Edelweiss Large Cap Fund-Reg
Steel Authority Of India Ltd.,Metals,1,Edelweiss Large Cap Fund-Reg
Fortis Healthcare Ltd.,Healthcare,1,Edelweiss Large Cap Fund-Reg
REC Ltd.,Financials,1,Parag Parikh Large Cap Fund-Reg
Anantam Highways Trust,Unknown Sector,1,WOC Large Cap Fund-Reg
Indian Bank,Financials,1,Edelweiss Large Cap Fund-Reg
Orient Cement Ltd.,Construction,1,Parag Parikh Large Cap Fund-Reg
Indian Railway Finance Corporation Ltd.,Financials,1,Parag Parikh Large Cap Fund-Reg
TVS Srichakra Ltd.,Automobile and Ancillaries,1,Bank of India Large Cap Fund-Re
PNGS Reva Diamond Jewellery Ltd.,Retail and Other Services,1,Groww Largecap Fund-Reg
ICICI Pru Nifty Metal ETF,Unknown Sector,1,Groww Largecap Fund-Reg
Advit Jewels Ltd.,Retail and Other Services,1,Taurus Large Cap Fund-Reg
Insolation Energy Ltd.,Capital Goods,1,Taurus Large Cap Fund-Reg
General Insurance Corporation of India,Financials,1,Taurus Large Cap Fund-Reg
Narayana Hrudayalaya Ltd.,Healthcare,1,Taurus Large Cap Fund-Reg
