Company Name,Sector,Number of Funds,Funds Holding This Stock,Yahoo_Ticker,Current Price (INR),90-Day ADV (Shares),Amihud Measure
Oil & Natural Gas Corporation Ltd.,Energy,9,"ICICI Pru Large Cap Fund, Mirae Asset Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Quant Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg",OIL.NS,449.75,4742074.0,7.62292878003433e-12
Power Finance Corporation Ltd.,Financials,9,"Mirae Asset Large Cap Fund-Reg, Kotak Large Cap Fund, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Bank of India Large Cap Fund-Re, Taurus Large Cap Fund-Reg",PFC.NS,411.9,5950467.0,5.155923306071414e-12
Swiggy Ltd.,Retail and Other Services,9,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, Sundaram Large Cap Fund-Reg, HSBC Large Cap Fund, ITI Large Cap Fund-Reg",SWIGGY.NS,251.42,13071943.0,6.359431151681992e-12
Nestle India Ltd.,FMCG,8,"Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund",NESTLEIND.NS,1443.5,2022712.0,3.452128441672287e-12
Coforge Ltd.,Technology,8,"Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, JM Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg",COFORGE.NS,1484.7,3618539.0,4.630936981065087e-12
Tata Motors Passenger Vehicles Ltd.,Automobile and Ancillaries,8,"ICICI Pru Large Cap Fund, HDFC Large Cap Fund, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, Groww Largecap Fund-Reg",TATAMOTORS.NS,,,
Vishal Mega Mart Ltd.,Retail and Other Services,8,"Nippon India Large Cap Fund, HDFC Large Cap Fund, Canara Rob Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, PGIM India Large Cap Fund",,,,
Ambuja Cements Ltd.,Construction,8,"HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Tata Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Groww Largecap Fund-Reg",AMBUJACEM.NS,425.15,3149600.0,1.1744230259670102e-11
Pidilite Industries Ltd.,Chemicals,8,"Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, Bank of India Large Cap Fund-Re",PIDILITIND.NS,1570.9,965397.0,7.455065881169704e-12
HDFC Asset Management Company Ltd.,Financials,8,"ICICI Pru Large Cap Fund, Canara Rob Large Cap Fund-Reg, Tata Large Cap Fund-Reg, HSBC Large Cap Fund, Parag Parikh Large Cap Fund-Reg, Union Largecap Fund-Reg, Bank of India Large Cap Fund-Re, Taurus Large Cap Fund-Reg",HDFCAMC.NS,2505.7,899289.0,6.710376132007341e-12
ICICI Lombard General Insurance Company Ltd.,Financials,7,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Aditya Birla SL Large Cap Fund-, DSP Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg, PGIM India Large Cap Fund",ICICIGI.NS,1661.8,897730.0,1.1426177554948601e-11
Adani Energy Solutions Ltd.,Energy,7,"SBI Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Quant Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Union Largecap Fund-Reg, Samco Large Cap Fund-Reg",ADANIENSOL.NS,1702.2,3180020.0,3.745385532334704e-12
Godrej Consumer Products Ltd.,FMCG,7,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Kotak Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, Parag Parikh Large Cap Fund-Reg",GODREJCP.NS,1059.5,1324377.0,1.0524264883680616e-11
Info Edge (India) Ltd.,Technology,7,"ICICI Pru Large Cap Fund, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, DSP Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg",NAUKRI.NS,1165.5,2453423.0,7.1338470818856896e-12
SRF Ltd.,Chemicals,7,"HDFC Large Cap Fund, Axis Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Mahindra Manulife Large Cap Fun, JM Large Cap Fund-Reg",SRF.NS,2664.7,567439.0,1.134700350701805e-11
Tata Capital Ltd.,Financials,7,"HDFC Large Cap Fund, Baroda BNP Paribas Large Cap Fu, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Taurus Large Cap Fund-Reg",,,,
PB Fintech Ltd.,Financials,7,"Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Franklin India Large Cap Fund, Baroda BNP Paribas Large Cap Fu, Invesco India Largecap Fund-Reg",POLICYBZR.NS,1537.2,2071957.0,5.662668462404602e-12
Coal India Ltd.,Energy,7,"UTI Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Baroda BNP Paribas Large Cap Fu, Edelweiss Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Samco Large Cap Fund-Reg, Taurus Large Cap Fund-Reg",COALINDIA.NS,427.4,12080025.0,2.359699517585756e-12
Vedanta Ltd.,Metals,7,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Bandhan Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Samco Large Cap Fund-Reg",VEDL.NS,264.65,28373263.0,3.181945908503695e-12
Vedanta Power Ltd.,Energy,7,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Mirae Asset Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Bank of India Large Cap Fund-Re",VEDL.NS,264.65,28373263.0,3.181945908503695e-12
IndusInd Bank Ltd.,Financials,6,"HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bajaj Finserv Large Cap Fund-Re, Mahindra Manulife Large Cap Fun",INDUSINDBK.NS,996.05,2405864.0,7.208570239926575e-12
Muthoot Finance Ltd.,Financials,6,"Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, JM Large Cap Fund-Reg",MUTHOOT.NS,,,
Polycab India Ltd.,Capital Goods,6,"UTI Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, Edelweiss Large Cap Fund-Reg, Union Largecap Fund-Reg, JM Large Cap Fund-Reg",POLYCAB.NS,8907.5,377391.0,3.96454088688986e-12
Siemens Ltd.,Capital Goods,6,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Samco Large Cap Fund-Reg",SIEMENS.NS,3689.8,420215.0,9.198658421745821e-12
Cash & Cash Equivalent,Unknown Sector,6,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, Aditya Birla SL Large Cap Fund-, DSP Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg",CASH.NS,,,
GE Vernova T&D India Ltd.,Capital Goods,5,"Nippon India Large Cap Fund, Bandhan Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg",GE.NS,,,
Indus Towers Ltd.,Media and Communications,5,"SBI Large Cap Fund-Reg, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Tata Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun",INDUS.NS,,,
Sona BLW Precision Forgings Ltd.,Automobile and Ancillaries,5,"SBI Large Cap Fund-Reg, Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Bandhan Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg",SONA.NS,,,
Lupin Ltd.,Healthcare,5,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, HDFC Large Cap Fund, UTI Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg",LUPIN.NS,2370.5,1017723.0,4.4643582801699414e-12
Dixon Technologies (India) Ltd.,Consumer Durables,5,"Nippon India Large Cap Fund, UTI Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, PGIM India Large Cap Fund, Taurus Large Cap Fund-Reg",DIXON.NS,13846.0,626119.0,2.517557404120068e-12
Bank Of Baroda,Financials,5,"ICICI Pru Large Cap Fund, Sundaram Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Bank of India Large Cap Fund-Re",BANK.NS,,,
Vedanta Iron And Steel Ltd.,Metals,5,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Bank of India Large Cap Fund-Re",VEDL.NS,264.65,28373263.0,3.181945908503695e-12
Lenskart Solutions Ltd.,Healthcare,5,"Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, Kotak Large Cap Fund, WOC Large Cap Fund-Reg",LENSKART.NS,555.9,6670707.0,5.625031130246562e-12
Billionbrains Garage Ventures Ltd.,Financials,5,"HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, WOC Large Cap Fund-Reg",BILLIONBRAINS.NS,,,
Vedanta Oil and Gas Ltd.,Metals,5,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg",VEDL.NS,264.65,28373263.0,3.181945908503695e-12
LTM Ltd.,Technology,5,"UTI Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, JM Large Cap Fund-Reg",LTM.NS,4091.8,455279.0,1.0165850747297e-11
Adani Power Ltd.,Energy,4,"Aditya Birla SL Large Cap Fund-, Parag Parikh Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Samco Large Cap Fund-Reg",ADANI.NS,,,
Jindal Steel Ltd.,Metals,4,"Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Parag Parikh Large Cap Fund-Reg, Samco Large Cap Fund-Reg",JINDAL.NS,,,
Multi Commodity Exchange Of India Ltd.,Financials,4,"Canara Rob Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Invesco India Largecap Fund-Reg, Union Largecap Fund-Reg",MULTI.NS,,,
Oberoi Realty Ltd.,Construction,4,"ICICI Pru Large Cap Fund, Canara Rob Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund",OBEROI.NS,,,
Hitachi Energy India Ltd.,Capital Goods,4,"Baroda BNP Paribas Large Cap Fu, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, Union Largecap Fund-Reg",HITACHI.NS,,,
Hindustan Zinc Ltd.,Metals,4,"Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Parag Parikh Large Cap Fund-Reg, JM Large Cap Fund-Reg",HINDUSTAN.NS,,,
Siemens Energy India Ltd.,Capital Goods,4,"Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, ITI Large Cap Fund-Reg",SIEMENS.NS,3689.8,420215.0,9.198658421745821e-12
Lodha Developers Ltd.,Construction,4,"Mirae Asset Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Parag Parikh Large Cap Fund-Reg",LODHA.NS,1144.1,2625051.0,9.808899249219535e-12
GAIL (India) Ltd.,Energy,4,"SBI Large Cap Fund-Reg, Mirae Asset Large Cap Fund-Reg, DSP Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg",GAIL.NS,170.02,8649372.0,7.779758415458775e-12
Kwality Wall's (India) Ltd.,FMCG,4,"SBI Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, Groww Largecap Fund-Reg",KWALITY.NS,,,
PI Industries Ltd.,Chemicals,4,"SBI Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg",PI.NS,,,
Shree Cement Ltd.,Construction,4,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Parag Parikh Large Cap Fund-Reg",SHREE.NS,,,
Adani Enterprises Ltd.,Miscellaneous,4,"SBI Large Cap Fund-Reg, Quant Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Union Largecap Fund-Reg",ADANI.NS,,,
Indian Oil Corporation Ltd.,Energy,4,"ICICI Pru Large Cap Fund, DSP Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg",INDIAN.NS,,,
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,4,"Franklin India Large Cap Fund, Motilal Oswal Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg",JB.NS,,,
Prestige Estates Projects Ltd.,Construction,4,"Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, PGIM India Large Cap Fund, JM Large Cap Fund-Reg",PRESTIGE.NS,1592.8,719172.0,2.1326950986610107e-11
JSW Infrastructure Ltd.,Infrastructure,4,"Franklin India Large Cap Fund, Motilal Oswal Large Cap Fund-Re, Sundaram Large Cap Fund-Reg, WOC Large Cap Fund-Reg",JSW.NS,,,
Honeywell Automation India Ltd.,Consumer Durables,3,"Aditya Birla SL Large Cap Fund-, Tata Large Cap Fund-Reg, Invesco India Largecap Fund-Reg",HONEYWELL.NS,,,
Max Financial Services Ltd.,Financials,3,"Nippon India Large Cap Fund, WOC Large Cap Fund-Reg, Union Largecap Fund-Reg",MAX.NS,,,
Hero MotoCorp Ltd.,Automobile and Ancillaries,3,"ICICI Pru Large Cap Fund, DSP Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu",HERO.NS,,,
Schaeffler India Ltd.,Automobile and Ancillaries,3,"SBI Large Cap Fund-Reg, Kotak Large Cap Fund, Edelweiss Large Cap Fund-Reg",SCHAEFFLER.NS,4107.7,78465.0,5.1079402097776817e-11
FSN E-Commerce Ventures Ltd.,Retail and Other Services,3,"Mirae Asset Large Cap Fund-Reg, HSBC Large Cap Fund, WOC Large Cap Fund-Reg",FSN.NS,,,
ICICI Prudential Life Insurance Company Ltd.,Financials,3,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, DSP Large Cap Fund-Reg",ICICIPRULI.NS,500.55,1763141.0,2.0347869359454043e-11
Jubilant FoodWorks Ltd.,FMCG,3,"Nippon India Large Cap Fund, UTI Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg",JUBILANT.NS,,,
Meesho Ltd.,Retail and Other Services,3,"Nippon India Large Cap Fund, Aditya Birla SL Large Cap Fund-, HSBC Large Cap Fund",MEESHO.NS,185.24,29615467.0,6.6681062478196345e-12
Mphasis Ltd.,Technology,3,"Mirae Asset Large Cap Fund-Reg, Kotak Large Cap Fund, Union Largecap Fund-Reg",MPHASIS.NS,2288.1,572836.0,1.2935150845113489e-11
JSW Energy Ltd.,Energy,3,"Mirae Asset Large Cap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg",JSW.NS,,,
One97 Communications Ltd.,Financials,3,"Mirae Asset Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, JM Large Cap Fund-Reg",ONE97.NS,,,
JIO Financial Services Ltd.,Financials,3,"Bajaj Finserv Large Cap Fund-Re, Parag Parikh Large Cap Fund-Reg, Union Largecap Fund-Reg",JIO.NS,,,
Punjab National Bank,Financials,3,"Baroda BNP Paribas Large Cap Fu, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun",PUNJAB.NS,,,
Delhivery Ltd.,Logistics,3,"Aditya Birla SL Large Cap Fund-, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund",DELHIVERY.NS,462.55,4028820.0,8.722137638072768e-12
Wipro Ltd.,Technology,3,"ICICI Pru Large Cap Fund, Baroda BNP Paribas Large Cap Fu, Parag Parikh Large Cap Fund-Reg",WIPRO.NS,177.12,23917654.0,2.863524461705519e-12
Marico Ltd.,FMCG,3,"Franklin India Large Cap Fund, Sundaram Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg",MARICO.NS,855.6,1932534.0,5.69672641785683e-12
Bosch Ltd.,Automobile and Ancillaries,3,"Kotak Large Cap Fund, Baroda BNP Paribas Large Cap Fu, Parag Parikh Large Cap Fund-Reg",BOSCH.NS,,,
Adani Green Energy Ltd.,Energy,3,"Quant Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Samco Large Cap Fund-Reg",ADANI.NS,,,
Craftsman Automation Ltd.,Automobile and Ancillaries,3,"Sundaram Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg",CRAFTSMAN.NS,9284.0,130734.0,2.415397112773585e-11
Bharat Heavy Electricals Ltd.,Capital Goods,3,"Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, WOC Large Cap Fund-Reg",BHARAT.NS,,,
Ashok Leyland Ltd.,Automobile and Ancillaries,3,"Franklin India Large Cap Fund, Edelweiss Large Cap Fund-Reg, PGIM India Large Cap Fund",ASHOK.NS,,,
Mazagon Dock Shipbuilders Ltd.,Automobile and Ancillaries,3,"Parag Parikh Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Taurus Large Cap Fund-Reg",MAZAGON.NS,,,
Union Bank Of India,Financials,3,"Parag Parikh Large Cap Fund-Reg, Samco Large Cap Fund-Reg, Taurus Large Cap Fund-Reg",UNION.NS,,,
Havells India Ltd.,Capital Goods,3,"ICICI Pru Large Cap Fund, HDFC Large Cap Fund, Mahindra Manulife Large Cap Fun",HAVELLS.NS,1226.9,1051465.0,1.0434401381483351e-11
Oil India Ltd.,Energy,3,"ICICI Pru Large Cap Fund, Baroda BNP Paribas Large Cap Fu, WOC Large Cap Fund-Reg",OIL.NS,449.75,4742074.0,7.62292878003433e-12
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,2,"Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-",CROMPTON.NS,250.15,3743578.0,1.8399706968603553e-11
Bharat Forge Ltd.,Automobile and Ancillaries,2,"Aditya Birla SL Large Cap Fund-, Kotak Large Cap Fund",BHARAT.NS,,,
Abbott India Ltd.,Healthcare,2,"Canara Rob Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg",ABBOTT.NS,,,
Anthem Biosciences Ltd.,Healthcare,2,"Kotak Large Cap Fund, Edelweiss Large Cap Fund-Reg",ANTHEM.NS,769.9,581966.0,4.036604047151649e-11
Ather Energy Ltd.,Automobile and Ancillaries,2,"Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg",ATHER.NS,,,
KFin Technologies Ltd.,Financials,2,"Bandhan Large Cap Fund-Reg, ITI Large Cap Fund-Reg",KFIN.NS,,,
Glenmark Pharmaceuticals Ltd.,Healthcare,2,"Bandhan Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg",GLENMARK.NS,2192.0,666815.0,8.35062701929657e-12
Godrej Properties Ltd.,Construction,2,"Bandhan Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun",GODREJ.NS,,,
NHPC Ltd.,Energy,2,"ICICI Pru Large Cap Fund, Baroda BNP Paribas Large Cap Fu",NHPC.NS,79.39,25671903.0,9.498765071017935e-12
Zydus Lifesciences Ltd.,Healthcare,2,"ICICI Pru Large Cap Fund, Parag Parikh Large Cap Fund-Reg",ZYDUS.NS,,,
United Breweries Ltd.,FMCG,2,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund",UNITED.NS,,,
Tube Investments of India Ltd.,Automobile and Ancillaries,2,"Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg",TUBE.NS,,,
Canara Bank,Financials,2,"Parag Parikh Large Cap Fund-Reg, Bank of India Large Cap Fund-Re",CANARA.NS,,,
Hindustan Petroleum Corporation Ltd.,Energy,2,"HSBC Large Cap Fund, Edelweiss Large Cap Fund-Reg",HINDUSTAN.NS,,,
Poly Medicure Ltd.,Healthcare,2,"Invesco India Largecap Fund-Reg, WOC Large Cap Fund-Reg",POLY.NS,,,
Aptus Value Housing Finance India Ltd.,Financials,2,"Motilal Oswal Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg",APTUS.NS,277.15,1345689.0,6.185321461014046e-11
Cyient Ltd.,Technology,2,"DSP Large Cap Fund-Reg, Tata Large Cap Fund-Reg",CYIENT.NS,840.05,466343.0,4.4986141745467924e-11
Whirlpool Of India Ltd.,Consumer Durables,2,"Aditya Birla SL Large Cap Fund-, Motilal Oswal Large Cap Fund-Re",WHIRLPOOL.NS,771.45,287451.0,6.958651843721445e-11
Poonawalla Fincorp Ltd.,Financials,2,"Kotak Large Cap Fund, Bandhan Large Cap Fund-Reg",POONAWALLA.NS,459.7,1835339.0,2.6964862357573414e-11
Jubilant Ingrevia Ltd.,Chemicals,2,"DSP Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg",JUBILANT.NS,,,
UNO Minda Ltd.,Automobile and Ancillaries,2,"Canara Rob Large Cap Fund-Reg, Union Largecap Fund-Reg",UNO.NS,,,
Jindal Stainless Ltd.,Metals,2,"UTI Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg",JINDAL.NS,,,
Nifty 50,Unknown Sector,2,"Axis Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re",NIFTY.NS,,,
Page Industries Ltd.,Textile,2,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg",PAGE.NS,,,
NTPC Green Energy Ltd.,Energy,2,"Nippon India Large Cap Fund, Invesco India Largecap Fund-Reg",NTPC.NS,347.2,10849495.0,2.2516457533455885e-12
Restaurant Brands Asia Ltd.,Retail and Other Services,2,"Mirae Asset Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re",RESTAURANT.NS,,,
Sobha Ltd.,Construction,2,"Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-",SOBHA.NS,1362.3,208896.0,8.976870354738409e-11
Life Insurance Corporation of India,Financials,2,"ICICI Pru Large Cap Fund, DSP Large Cap Fund-Reg",LIFE.NS,,,
Navin Fluorine International Ltd.,Chemicals,2,"WOC Large Cap Fund-Reg, Union Largecap Fund-Reg",NAVIN.NS,,,
JK Cement Ltd.,Construction,2,"Union Largecap Fund-Reg, Groww Largecap Fund-Reg",JK.NS,,,
Krishna Institute of Medical Sciences Ltd,Healthcare,2,"Motilal Oswal Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg",KRISHNA.NS,,,
Indiqube Spaces Ltd.,Miscellaneous,2,"Motilal Oswal Large Cap Fund-Re, Groww Largecap Fund-Reg",INDIQUBE.NS,181.31,112457.0,2.875821168806518e-09
Bajaj Holdings & Investment Ltd.,Financials,2,"Motilal Oswal Large Cap Fund-Re, Parag Parikh Large Cap Fund-Reg",BAJAJ.NS,,,
PG Electroplast Ltd.,Consumer Durables,2,"Kotak Large Cap Fund, Bandhan Large Cap Fund-Reg",PG.NS,,,
Dabur India Ltd.,FMCG,2,"HDFC Large Cap Fund, Edelweiss Large Cap Fund-Reg",DABUR.NS,423.2,2070208.0,1.4347688468368532e-11
Gujarat Energy Ltd.,Energy,2,"Mirae Asset Large Cap Fund-Reg, Kotak Large Cap Fund",GUJARAT.NS,,,
PNB Housing Finance Ltd.,Financials,2,"Aditya Birla SL Large Cap Fund-, ITI Large Cap Fund-Reg",PNB.NS,110.38,20788207.0,5.846523649735773e-12
JSW Dulux Ltd.,Chemicals,2,"Aditya Birla SL Large Cap Fund-, Bandhan Large Cap Fund-Reg",JSW.NS,,,
Godfrey Phillips India Ltd.,FMCG,2,"LIC MF Large Cap Fund-Reg, ITI Large Cap Fund-Reg",GODFREY.NS,,,
BSE Ltd.,Financials,2,"Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg",BSE.NS,3549.7,3449094.0,1.147782669716005e-12
SKF India (Industrial) Ltd.,Automobile and Ancillaries,2,"SBI Large Cap Fund-Reg, Mirae Asset Large Cap Fund-Reg",SKF.NS,,,
Other Derivaties,Unknown Sector,2,"SBI Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-",OTHER.NS,,,
Brainbees Solutions Ltd.,Retail and Other Services,2,"SBI Large Cap Fund-Reg, Kotak Large Cap Fund",BRAINBEES.NS,,,
Torrent Power Ltd.,Energy,2,"SBI Large Cap Fund-Reg, PGIM India Large Cap Fund",TORRENT.NS,,,
National Highways Infra Trust,Unknown Sector,1,WOC Large Cap Fund-Reg,NATIONAL.NS,,,
Citius Transnet Investment Trust,Unknown Sector,1,WOC Large Cap Fund-Reg,CITIUS.NS,,,
Thermax Ltd.,Capital Goods,1,SBI Large Cap Fund-Reg,THERMAX.NS,4514.0,306756.0,2.0232683600987494e-11
Embassy Office Parks REIT,Unknown Sector,1,WOC Large Cap Fund-Reg,EMBASSY.NS,437.98,578727.0,3.4317854830091215e-11
Nexus Select Trust,Unknown Sector,1,WOC Large Cap Fund-Reg,NEXUS.NS,,,
TBO Tek Ltd.,Travel,1,WOC Large Cap Fund-Reg,TBO.NS,,,
ITC Hotels Ltd.,Travel,1,ICICI Pru Large Cap Fund,ITC.NS,283.45,15723574.0,1.643743390717502e-12
Aadhar Housing Finance Ltd.,Financials,1,WOC Large Cap Fund-Reg,AADHAR.NS,,,
Ajanta Pharma Ltd.,Healthcare,1,Aditya Birla SL Large Cap Fund-,AJANTA.NS,,,
Bandhan Bank Ltd.,Financials,1,Aditya Birla SL Large Cap Fund-,BANDHAN.NS,,,
Bayer CropScience Ltd.,Chemicals,1,Aditya Birla SL Large Cap Fund-,BAYER.NS,,,
Sanofi Consumer Healthcare India Ltd.,Healthcare,1,Aditya Birla SL Large Cap Fund-,SANOFI.NS,3388.9,25122.0,1.1424791422989715e-10
